NAD de novo biosynthesis II (from tryptophan)	nicotinate-nucleotide diphosphorylase (carboxylating)	2.4.2.19	BNA6	PMID:12062417
isoleucine degradation	alcohol dehydrogenase	1.1.1.1	ADH4	PMID:10753893|PMID:8798704|PMID:10989445|PMID:8702755
fatty acid elongation	3-oxoacyl-[acyl-carrier-protein] reductase	1.1.1.100	FAS2	
superpathway of aromatic amino acid biosynthesis	3-dehydroquinate dehydratase	4.2.1.10	ARO1	
CDP-diacylglycerol biosynthesis	phosphatidate cytidylyltransferase	2.7.7.41	CDS1	PMID:24866973|PMID:23623749|PMID:16943180|PMID:21382416
pentose phosphate pathway	phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)	1.1.1.44	GND2	
salvage pathways of adenine, hypoxanthine and their nucleosides	AMP deaminase	3.5.4.6	AMD1	PMID:17052198|PMID:1577682|PMID:11223943|PMID:15565584|PMID:9864350|PMID:10217799|PMID:22419079
glycogen biosynthesis	glycogen(starch) synthase	2.4.1.11	GSY1	PMID:11152943
superpathway of phospholipid biosynthesis	CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase	2.7.8.5	PGS1	PMID:16807089|PMID:9885152|PMID:24520995|PMID:24866973
superpathway of histidine, purine, and pyrimidine biosynthesis	carbamoyl-phosphate synthase (glutamine-hydrolyzing)	6.3.5.5	URA2	
gluconeogenesis I	pyruvate carboxylase	6.4.1.1	PYC2	PMID:9467897
superpathway of chorismate metabolism	glycine hydroxymethyltransferase	2.1.2.1	SHM2	
superpathway of fatty acid biosynthesis, saturated	oleoyl-[acyl-carrier-protein] hydrolase	3.1.2.14	FAS1	
stearate biosynthesis III (fungi)	3-oxoacyl-[acyl-carrier-protein] reductase	1.1.1.100	FAS2	
superpathway of glucose fermentation	aldehyde dehydrogenase (NADP(+))	1.2.1.4	ALD4	PMID:6985717
gluconeogenesis I	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	5.4.2.11	GPM1	PMID:9467897
adenosine deoxyribonucleotides de novo biosynthesis II	ribonucleoside-diphosphate reductase	1.17.4.1	RNR4	
trans, trans-farnesyl diphosphate biosynthesis	(2E,6E)-farnesyl diphosphate synthase	2.5.1.10	ERG20	
superpathway of aromatic amino acid biosynthesis	indole-3-glycerol-phosphate synthase	4.1.1.48	TRP3	
assimilatory sulfate reduction I	adenylyl-sulfate kinase	2.7.1.25	MET14	
UMP biosynthesis I	carbamoyl-phosphate synthase (glutamine-hydrolyzing)	6.3.5.5	URA2	
de novo biosynthesis of pyrimidine ribonucleotides	aspartate carbamoyltransferase	2.1.3.2	URA2	PMID:9485596|PMID:22419079|PMID:2283036|PMID:9858611
superpathway of phosphatidic acid and phospholipid biosynthesis	ethanolamine kinase	2.7.1.82	EKI1	PMID:24520995|PMID:9885152|PMID:24866973
superpathway of purine nucleotides de novo biosynthesis II	nucleoside-diphosphate kinase	2.7.4.6	YNK1	
glutathione-glutaredoxin redox reactions	thioredoxin-dependent peroxiredoxin	1.11.1.24	HYR1	PMID:11169096
fatty acids biosynthesis (yeast)	fatty-acyl-CoA synthase system	2.3.1.86	FAS2	
fatty acid elongation	3-oxoacyl-[acyl-carrier-protein] reductase	1.1.1.100	OAR1	
superpathway of methionine salvage pathway	S-methyl-5'-thioadenosine phosphorylase	2.4.2.28	MEU1	PMID:18625006|PMID:9409150|PMID:19946895|PMID:16530730|PMID:9073064|PMID:9573363
mevalonate pathway	phosphomevalonate kinase	2.7.4.2	ERG8	
superpathway of purine biosynthesis and salvage pathways	adenine phosphoribosyltransferase	2.4.2.7	APT1	PMID:22419079|PMID:17052198|PMID:1495962|PMID:9822821
pantothenate and coenzyme A biosynthesis	phosphopantothenate--cysteine ligase (CTP)	6.3.2.5	CAB2	PMID:11154694
superpathway of TCA cycle and glyoxylate cycle	malate dehydrogenase	1.1.1.37	MDH2	PMID:12455685|PMID:20889721|PMID:23966945|PMID:1551398|PMID:1454530
superpathway of histidine, purine, and pyrimidine biosynthesis	phosphoribosylaminoimidazole carboxylase	4.1.1.21	ADE2	
phenylalanine biosynthesis	aromatic-amino-acid transaminase	2.6.1.57	ARO8	PMID:9642265|PMID:9491082|PMID:9491083|PMID:1943992
superpathway of L-threonine biosynthesis	homoserine kinase	2.7.1.39	THR1	PMID:8082795|PMID:2176637
zymosterol biosynthesis	3beta-hydroxysteroid 3-dehydrogenase	1.1.1.270	ERG27	
lipid-linked oligosaccharide biosynthesis	dolichyl-P-Man:Man7GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase	2.4.1.260	ALG12	PMID:11278778|PMID:10336995|PMID:9878760
superpathway of NAD biosynthesis	uridine nucleosidase	3.2.2.3	URH1	PMID:15137942
superpathway of phosphatidate biosynthesis	1-acylglycerol-3-phosphate O-acyltransferase	2.3.1.51	SLC1	PMID:24520995|PMID:17726007|PMID:22090344|PMID:10542045
